item_uid,measure,price,bin,trend_price,residual,log_residual,price_diff
11756267271,38.0,10000001,0,,,,
14008587512,38.01,3600000,0,,,,
13991530325,38.03,3600000,0,,,,
13280165193,38.03,3613818,0,,,,
14016027451,38.05,3600000,0,,,,
11106509847,38.06,4649990,0,,,,
13991530319,38.08,3600000,0,,,,
13991530324,38.08,3600000,0,,,,
13999982299,38.08,3600000,0,,,,
13926851052,38.08,4649990,0,,,,
12293431214,38.08,4649990,0,,,,
14035444160,38.09,3600000,0,,,,
14035444152,38.09,3600000,0,,,,
13999982298,38.1,3600000,0,,,,
14008587506,38.12,3600000,0,,,,
14035444162,38.12,3600000,0,,,,
13483402385,38.13,4649990,0,,,,
9444357322,38.15,4649990,0,,,,
13926851053,38.16,4649990,0,,,,
8140817550,38.17,3600000,0,,,,
13991530330,38.18,3600000,0,,,,
10677620138,38.18,4649990,0,,,,
5591682675,38.19,3599999,0,,,,
14058149530,38.2,3599990,0,,,,
13245717281,38.22,4649990,0,,,,
14058149529,38.23,3599990,0,,,,
12588779048,38.25,3600000,0,,,,
14016027455,38.25,3600000,0,,,,
14016027448,38.27,3600000,0,,,,
13745756288,38.3,3600000,1,,,,
14008587505,38.31,3600000,1,,,,
8152465548,38.31,4649990,1,,,,
13999982297,38.35,3600000,1,,,,
13999982300,38.37,3600000,1,,,,
14016027453,38.37,3600000,1,,,,
14008587498,38.38,3600000,1,,,,
14035889806,38.38,3600000,1,,,,
12340679173,38.44,3500000,1,,,,
14035444150,38.47,3600000,1,,,,
13991530321,38.5,3600000,1,,,,
13991530328,38.52,3600000,1,,,,
13999982292,38.54,3600000,1,,,,
14008587503,38.54,3600000,1,,,,
13991530327,38.55,3600000,1,,,,
14016027446,38.6,3600000,2,,,,
14016027447,38.6,3600000,2,,,,
10015489482,38.64,4649990,2,,,,
14035444154,38.66,3600000,2,,,,
14008587504,38.67,3600000,2,,,,
13946745252,38.67,3650000,2,,,,
14016027454,38.68,3600000,2,,,,
14035444157,38.68,3600000,2,,,,
14035444155,38.7,3600000,2,,,,
14035444151,38.71,3600000,2,,,,
14016027450,38.75,3600000,2,,,,
14008587507,38.76,3600000,2,,,,
14010777177,38.77,3850000,2,,,,
4536941254,38.77,5482750,2,,,,
9893446376,38.79,34971810,2,,,,
14035444163,38.82,3600000,2,,,,
14005324907,38.89,3599999,3,,,,
8795786710,38.89,3599999,3,,,,
13942368943,39.0,700750000,3,,,,
4780644154,39.0,999999999,3,,,,
14035444158,39.03,3600000,3,,,,
6438100968,39.05,3590000,3,,,,
10242821036,39.11,6307875,3,,,,
11560957590,39.11,10999999,3,,,,
13942368944,39.15,3800000,4,,,,
11713434453,39.18,6687765,4,,,,
14035444159,39.21,3600000,4,,,,
14025503219,39.26,3700000,4,,,,
14045813789,39.28,4000000,4,,,,
13457021296,39.34,3625000,4,,,,
14035444164,39.38,3600000,4,,,,
13956871261,39.39,3650005,4,,,,
11713434452,39.45,8195985,5,,,,
13676423810,39.55,3700000,5,,,,
4003752832,39.55,3700000,5,,,,
5868400679,39.55,4649990,5,,,,
14035889804,39.58,3600000,5,,,,
4499270314,39.6,3700000,5,,,,
14035444161,39.61,3600000,5,,,,
12424858237,39.63,3700000,5,,,,
13956420553,39.65,3690000,5,,,,
13774088368,39.8,3700000,6,,,,
12235529592,39.88,4649990,6,,,,
4006124806,39.89,3800000,6,,,,
12995919197,39.89,4649990,6,,,,
9659707437,39.91,4649990,6,,,,
12546003886,39.92,4649990,6,,,,
12234555613,39.93,4649990,6,,,,
9993556823,39.95,4649990,6,,,,
12500184110,39.95,4649990,6,,,,
11713434457,39.95,11571120,6,,,,
11508077358,39.96,4649990,6,,,,
12734346293,40.01,4450000,7,,,,
14005742565,40.01,5189900,7,,,,
3498633752,40.09,4500000,7,,,,
13191878078,40.09,4889999,7,,,,
13684764243,40.09,4889999,7,,,,
13441594378,40.09,5000000,7,,,,
13324342897,40.13,4300000,7,,,,
13622846380,40.13,4800000,7,,,,
13971201010,40.14,4450000,7,,,,
12859060932,40.17,4889999,7,,,,
12392017848,40.17,4889999,7,,,,
13498414943,40.17,4889999,7,,,,
13878003741,40.17,5448800,7,,,,
12763813551,40.19,4889999,7,,,,
13959301924,40.2,4450000,7,,,,
12873417379,40.2,4500000,7,,,,
13073027177,40.24,4500000,7,,,,
13999982295,40.26,4450000,7,,,,
4497575717,40.27,4649999,7,,,,
8757871013,40.27,4890000,7,,,,
12757701088,40.28,4890000,8,,,,
12835771550,40.28,4890000,8,,,,
13059267700,40.3,4890000,8,,,,
13964060978,40.32,4450000,8,,,,
13067616530,40.34,4649990,8,,,,
11530089858,40.35,4649990,8,,,,
5831331021,40.37,4649990,8,,,,
12828325302,40.37,5090000,8,,,,
10190716703,40.37,5090000,8,,,,
11921211944,40.38,5490000,8,,,,
13964060985,40.41,4450000,8,,,,
9968188302,40.41,4500000,8,,,,
13729865392,40.41,4649990,8,,,,
10947341111,40.41,4810000,8,,,,
13093238502,40.41,5190000,8,,,,
12936339950,40.42,5190000,8,,,,
11087459696,40.42,5190000,8,,,,
11879843663,40.43,5190000,8,,,,
12311730886,40.45,5190000,8,,,,
13963199090,40.46,4450000,8,,,,
10685102616,40.46,5290000,8,,,,
14058640803,40.47,4650000,8,,,,
13033852085,40.47,5290000,8,,,,
10153312080,40.47,5290000,8,,,,
11586792397,40.48,5090000,8,,,,
8920534327,40.49,4970000,8,,,,
12545488585,40.49,5290000,8,,,,
3520190913,40.49,5290000,8,,,,
12545488572,40.49,5640789,8,,,,
13776439996,40.5,4450000,8,,,,
13961748231,40.5,4800000,8,,,,
6783950532,40.51,4999999,8,,,,
13074181714,40.51,5000000,8,,,,
13248544940,40.53,6062000,8,,,,
8964880289,40.54,4800000,8,,,,
13058893003,40.57,5690000,9,,,,
10939508024,40.6,5190000,9,,,,
9378530317,40.61,5004061,9,,,,
12897871215,40.62,4475000,9,,,,
12520879753,40.63,5890000,9,,,,
12600840526,40.63,5890000,9,,,,
11246008943,40.64,5890000,9,,,,
12405380656,40.65,5890000,9,,,,
8189734963,40.66,6000000,9,,,,
13848779787,40.66,7318000,9,,,,
3958030793,40.68,5350000,9,,,,
10106039523,40.71,7500000,9,,,,
9297809153,40.74,5500054,9,,,,
11297899235,40.74,5590000,9,,,,
13819789475,40.75,5000000,9,,,,
10764634012,40.76,5500000,9,,,,
11883021394,40.76,6090000,9,,,,
12537094768,40.76,6090000,9,,,,
9971521604,40.76,6090000,9,,,,
11587591688,40.77,7900000,9,,,,
12628745317,40.78,6090000,9,,,,
11170447171,40.78,7900000,9,,,,
11665044805,40.79,6090000,9,,,,
12116870622,40.8,6290000,9,,,,
12754020217,40.81,5500000,9,,,,
13909090457,40.81,5500000,9,,,,
12863755004,40.81,6290000,9,,,,
13279675629,40.82,5648000,9,,,,
11444898817,40.83,7400000,9,,,,
12912756902,40.86,6390000,10,,,,
8349983055,40.86,6450000,10,,,,
12131861190,40.87,6390000,10,,,,
8573945786,40.88,6490000,10,,,,
13400371596,40.9,6200000,10,,,,
11044843006,40.92,5830000,10,,,,
12164315215,40.93,5600000,10,,,,
5620625111,40.94,5870000,10,,,,
11471584766,40.94,6690000,10,,,,
12499038703,40.94,6690000,10,,,,
12408633501,40.95,6690000,10,,,,
11649263498,40.95,17000000,10,,,,
12729503224,40.96,6690000,10,,,,
12229280066,40.97,6790000,10,,,,
13113494301,40.98,6890000,10,,,,
11562092740,40.98,12000000,10,,,,
13830411230,41.02,6500000,10,,,,
9386832174,41.02,7100000,10,,,,
12450212533,41.02,7200000,10,,,,
13183665330,41.03,6999990,10,,,,
11800682429,41.04,5699960,10,,,,
5741241616,41.04,7400000,10,,,,
10223843172,41.04,8070000,10,,,,
13671989678,41.08,5899961,10,,,,
13459672266,41.08,6889999,10,,,,
12620122629,41.08,7800000,10,,,,
10151694560,41.08,7800000,10,,,,
12919922750,41.08,7800000,10,,,,
12771718221,41.09,6500061,10,,,,
11722110696,41.09,9000000,10,,,,
13903713987,41.1,6000000,10,,,,
12156334562,41.11,7990000,10,,,,
12195757510,41.12,7990000,10,,,,
12829549062,41.12,7990000,10,,,,
12325647179,41.12,10899999,10,,,,
14049918670,41.13,5300000,10,,,,
12833974367,41.15,7990000,11,,,,
12595622909,41.16,7990000,11,,,,
13344650131,41.17,6299963,11,,,,
13789627283,41.17,6500000,11,,,,
12794162826,41.17,8000000,11,,,,
12946237306,41.17,8190000,11,,,,
13022392028,41.17,8190000,11,,,,
12550908589,41.18,6800000,11,,,,
12136274562,41.18,20000000,11,,,,
12524455658,41.19,8190000,11,,,,
11924893670,41.2,11900000,11,,,,
14003871378,41.21,5199999,11,,,,
13379300989,41.21,6500000,11,,,,
11548200694,41.21,7000064,11,,,,
12674015129,41.21,8390000,11,,,,
11672430707,41.22,7000000,11,,,,
13394051296,41.22,7400000,11,,,,
11767599059,41.22,8490000,11,,,,
9731567494,41.24,8590000,11,,,,
9387583837,41.25,8690000,11,,,,
12176304931,41.25,8690000,11,,,,
11663877772,41.25,11000000,11,,,,
10041208278,41.26,7000065,11,,,,
3300944220,41.26,8690000,11,,,,
11173378082,41.26,8690000,11,,,,
10715876530,41.26,30699875,11,,,,
11219372248,41.27,8790000,11,,,,
12418158674,41.27,8790000,11,,,,
12619225316,41.27,8790000,11,,,,
13887052141,41.28,5299999,11,,,,
13882520166,41.28,6699965,11,,,,
12525651110,41.28,8790000,11,,,,
13903898374,41.3,8599000,11,,,,
11534793796,41.31,6889999,11,,,,
13332880547,41.31,7600000,11,,,,
13554804752,41.31,8500000,11,,,,
13214260935,41.32,8500000,11,,,,
13618632667,41.33,6899966,11,,,,
12782529256,41.33,8990000,11,,,,
12573674739,41.34,6889999,11,,,,
13992883966,41.35,5800066,11,,,,
12489053512,41.35,7099967,11,,,,
11650134091,41.35,7600000,11,,,,
12392448398,41.37,8990000,11,,,,
12547938658,41.38,8990000,11,,,,
6912241016,41.4,6199999,11,,,,
11728651356,41.42,13900000,12,,,,
13797629670,41.44,10000000,12,,,,
14022748367,41.48,7499999,12,,,,
13226031726,41.5,6000000,12,,,,
13153697138,41.5,14000000,12,,,,
9628786048,41.51,9700000,12,,,,
12447466512,41.51,15000000,12,,,,
12446614905,41.52,10700000,12,,,,
12312519760,41.53,10800000,12,,,,
5350639101,41.53,14900000,12,,,,
13538894817,41.54,7699970,12,,,,
13463887449,41.54,12000000,12,,,,
13811115728,41.55,9999971,12,,,,
13679352035,41.56,8000000,12,,,,
12467930965,41.56,11000000,12,,,,
12168708219,41.58,8000000,12,,,,
13837434912,41.59,18000000,12,,,,
14001161407,41.61,8762504,12,,,,
11564644600,41.61,11500000,12,,,,
12116499852,41.62,14899999,12,,,,
13169388573,41.64,10499972,12,,,,
13673301816,41.64,18000000,12,,,,
6064681970,41.65,13399975,12,,,,
10379062436,41.65,16000000,12,,,,
11320265677,41.68,16000000,12,,,,
11854347191,41.68,19000000,12,,,,
13310207161,41.69,11299973,12,,,,
12368352776,41.69,11299973,12,,,,
11602206926,41.7,17000000,12,,,,
13904463368,41.71,12999974,13,,,,
11272193466,41.71,20000000,13,,,,
12649113891,41.73,15000000,13,,,,
12600972203,41.76,13399975,13,,,,
13085619205,41.77,13004177,13,,,,
12286825854,41.77,16500000,13,,,,
13055955207,41.78,13699975,13,,,,
10660676930,41.79,14000000,13,,,,
13917566641,41.81,13699976,13,,,,
13056511501,41.81,16004181,13,,,,
12110031078,41.81,18000000,13,,,,
13782469976,41.83,17000000,13,,,,
13908137181,41.85,12500000,13,,,,
13989391858,41.85,13999977,13,,,,
12736450159,41.86,17000000,13,,,,
11746947196,41.9,19000000,13,,,,
10184388783,41.91,17004191,13,,,,
6688769063,41.95,17000000,13,,,,
12603455775,41.95,18000000,13,,,,
9279051485,41.99,21004199,14,,,,
13551180469,42.01,30000000,14,,,,
12698003233,42.02,30000000,14,,,,
14022628253,42.03,17999999,14,,,,
13846637287,42.06,15999999,14,,,,
12692658570,42.07,27000000,14,,,,
13302071449,42.13,28004213,14,,,,
12002050754,42.21,35004221,14,,,,
13856360689,42.22,19999999,14,,,,
9744972911,42.24,30000000,14,,,,
13597703862,42.26,21999999,14,,,,
12555312144,42.27,43004227,15,,,,
13591044460,42.35,24999999,15,,,,
13627113466,42.39,22000000,15,,,,
13997699821,42.42,34499988,15,,,,
5647480776,42.64,100000000,16,,,,
